Id;Designator;Mfg Part #;Description;Qty;Designation;Footprint;Type
1;J1, J2, J3;TB002-500-02BE;TERMINAL BLOCK, SCREW TYPE, 5.00;3;Screw_Terminal_01x02;TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal;THT
2;J4;SSK01-MPH-254-A6;2.54MM MALE HEADER 1X6PIN, STRAI;1;Conn_01x06_Pin;PinHeader_1x06_P2.54mm_Vertical;THT
4;R1;RP0805CT-1000GN-96TR;8W 100OHM BEO RF CHIP RESISTOR W;1;100R;R_0805_2012Metric;SMD
5;R2;RMCF0402FT10K0;RES 10K OHM 1% 1/16W 0402;1;10k;R_0805_2012Metric;SMD
6;R3, R4;RC0402JR-074K7L;RES 4.7K OHM 5% 1/16W 0402;2;4.7k;R_0805_2012Metric;SND
